## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[rg.bam] OUTPUT=PAMFEO_primary.bam METRICS_FILE=picardmetrics_primary.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[tempdir] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 09 21:50:16 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
primary	0	817152119	0	0	0	547202918	9053871	0.669646	287168883

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00198	72381710	0	73154197
2.0	1.060197	60218395	8465073	60790830
3.0	1.06358	48366839	279246	48653682
4.0	1.063776	34858125	9564	34791172
5.0	1.063788	22792367	367	22500180
6.0	1.063789	13825009	20	13470258
7.0	1.063789	7948847	5	7641853
8.0	1.063789	4422049	1	4195353
9.0	1.063789	2409345	0	2258279
10.0	1.063789	1297109	1	1202886
11.0	1.063789	689466	0	631413
12.0	1.063789	362865	0	328183
13.0	1.063789	188616	0	168414
14.0	1.063789	95950	0	84020
15.0	1.063789	47571	0	41034
16.0	1.063789	23469	0	19776
17.0	1.063789	10957	0	9170
18.0	1.063789	5319	0	4238
19.0	1.063789	2483	0	2022
20.0	1.063789	1175	0	915
21.0	1.063789	596	0	509
22.0	1.063789	295	0	245
23.0	1.063789	163	0	135
24.0	1.063789	102	0	84
25.0	1.063789	63	0	59
26.0	1.063789	51	0	41
27.0	1.063789	31	0	27
28.0	1.063789	21	0	22
29.0	1.063789	23	0	18
30.0	1.063789	22	0	21
31.0	1.063789	12	0	15
32.0	1.063789	12	0	11
33.0	1.063789	14	0	13
34.0	1.063789	7	0	5
35.0	1.063789	8	0	9
36.0	1.063789	8	0	13
37.0	1.063789	13	0	9
38.0	1.063789	11	0	9
39.0	1.063789	5	0	5
40.0	1.063789	2	0	0
41.0	1.063789	6	0	7
42.0	1.063789	4	0	5
43.0	1.063789	3	0	3
44.0	1.063789	2	0	0
45.0	1.063789	4	0	4
46.0	1.063789	4	0	5
47.0	1.063789	2	0	1
48.0	1.063789	1	0	3
49.0	1.063789	3	0	3
50.0	1.063789	3	0	2
51.0	1.063789	1	0	1
52.0	1.063789	3	0	3
53.0	1.063789	1	0	2
54.0	1.063789	3	0	1
55.0	1.063789	0	0	1
56.0	1.063789	3	0	2
57.0	1.063789	1	0	2
58.0	1.063789	1	0	1
59.0	1.063789	1	0	0
60.0	1.063789	1	0	1
61.0	1.063789	1	0	1
62.0	1.063789	0	0	1
63.0	1.063789	1	0	1
64.0	1.063789	0	0	1
65.0	1.063789	3	0	1
66.0	1.063789	0	0	0
67.0	1.063789	0	0	0
68.0	1.063789	1	0	1
69.0	1.063789	0	0	0
70.0	1.063789	0	0	0
71.0	1.063789	0	0	2
72.0	1.063789	1	0	1
73.0	1.063789	1	0	0
74.0	1.063789	1	0	1
75.0	1.063789	2	0	1
76.0	1.063789	0	0	1
77.0	1.063789	1	0	0
78.0	1.063789	0	0	0
79.0	1.063789	0	0	0
80.0	1.063789	0	0	0
81.0	1.063789	0	0	2
82.0	1.063789	2	0	0
83.0	1.063789	0	0	0
84.0	1.063789	0	0	0
85.0	1.063789	0	0	1
86.0	1.063789	1	0	0
87.0	1.063789	0	0	0
88.0	1.063789	1	0	1
89.0	1.063789	0	0	0
90.0	1.063789	0	0	0
91.0	1.063789	0	0	0
92.0	1.063789	0	0	0
93.0	1.063789	0	0	0
94.0	1.063789	0	0	0
95.0	1.063789	0	0	0
96.0	1.063789	0	0	0
97.0	1.063789	0	0	0
98.0	1.063789	0	0	0
99.0	1.063789	0	0	0
100.0	1.063789	0	0	0
