			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

PAMFEO_rnd-1_family-883	LINE	L2	6327	37562	32204	29711	24407	26034	19923	16497	13619	6663	5042	6114	5056	3764	4087	2867	1907	1250	392	571	201	13	322	189	181	415	360	184	1029	1829	1257	3612	3777	4684	1262	1144	445	62	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-664	Unknown	Unknown	73	810	1481	3787	7876	16644	23108	26556	38713	31334	26400	18596	14448	11379	7835	3926	3580	1260	558	235	152	194	226	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-365	DNA	hAT-hAT19	312	514	1044	3488	8089	28163	34797	33977	56412	45043	33499	25928	19803	16169	7903	4922	4169	4440	3699	3642	5442	5253	4168	3206	2705	2122	985	570	373	0	219	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA1_Htel	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-982	DNA	Sola-2	59	1385	15526	109325	71322	32155	17596	22602	16004	9117	4135	1117	71	0	221	98	102	0	301	265	233	1460	1438	1093	1378	1871	925	1085	927	1018	1145	1289	1582	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-like-8_Hmel	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-3_family-378	DNA	hAT-Blackjack	43	56	191	218	634	1818	2877	4091	13885	22845	51582	88006	117271	128138	105441	65801	58437	22779	18652	13563	8077	4617	3378	2929	2617	964	1278	1332	564	564	335	713	272	485	0	155	158	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-3_family-1812	LINE	RTE-BovB	258	344	1753	7370	10323	25196	49137	64548	80448	63527	51633	41861	25014	15685	10051	6197	7534	4797	2820	1862	1307	390	350	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2434_SO2_FAM0498	DNA	hAT-Tip100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	205	1005	1896	640	3163	4509	7817	1318	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
