# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2024-01-08, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	scaffold_16:34886749-35199411	34886749	35199411	+	5276.1	3596	https://v10-1.orthodb.org/?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	scaffold_10:143856404-143590840	143856404	143590840	-	2178.7	1144	https://v10-1.orthodb.org/?query=547at50557	Cation channel complex component UNC80, N-terminal
755at50557	Complete	scaffold_5:194806040-195010596	194806040	195010596	+	3355.1	2284	https://v10-1.orthodb.org/?query=755at50557	SRCR domain
767at50557	Complete	scaffold_11:149890068-149700303	149890068	149700303	-	3607.8	2302	https://v10-1.orthodb.org/?query=767at50557	WD40 repeat
888at50557	Complete	scaffold_14:87890244-88467957	87890244	88467957	+	2799.9	1773	https://v10-1.orthodb.org/?query=888at50557	Ubiquitin specific protease, conserved site
966at50557	Complete	scaffold_4:159006700-159289558	159006700	159289558	+	2413.0	1848	https://v10-1.orthodb.org/?query=966at50557	Leucine-rich repeat
983at50557	Complete	scaffold_15:67862009-67943998	67862009	67943998	+	4006.6	1962	https://v10-1.orthodb.org/?query=983at50557	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
1451at50557	Complete	scaffold_8:132590180-132851436	132590180	132851436	+	2195.4	1865	https://v10-1.orthodb.org/?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	scaffold_13:158166173-158247628	158166173	158247628	+	827.6	960	https://v10-1.orthodb.org/?query=1593at50557	Cadherin-like
1621at50557	Complete	scaffold_2:164211007-164280242	164211007	164280242	+	3171.0	2300	https://v10-1.orthodb.org/?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	scaffold_14:42453129-42397769	42453129	42397769	-	1768.2	1410	https://v10-1.orthodb.org/?query=1859at50557	Zinc finger C2H2-type
1997at50557	Complete	scaffold_11:9489928-9580852	9489928	9580852	+	2683.8	1776	https://v10-1.orthodb.org/?query=1997at50557	Immunoglobulin-like domain
2098at50557	Duplicated	scaffold_12:9981979-10106475	9981979	10106475	+	1326.9	833	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	scaffold_13:52743230-52620115	52743230	52620115	-	1412.8	811	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	scaffold_14:86811281-86936232	86811281	86936232	+	1260.0	788	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	scaffold_42:276141-116928	276141	116928	-	1412.8	820	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	scaffold_7:111401608-111652768	111401608	111652768	+	1413.6	819	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2101at50557	Complete	scaffold_14:119210627-119445687	119210627	119445687	+	1425.8	1394	https://v10-1.orthodb.org/?query=2101at50557	Serine/threonine-protein kinase SMG1
2110at50557	Complete	scaffold_2:117302551-117385556	117302551	117385556	+	1509.2	1355	https://v10-1.orthodb.org/?query=2110at50557	Proteasome component Ecm29
2168at50557	Complete	scaffold_8:139778555-139499713	139778555	139499713	-	1325.6	1057	https://v10-1.orthodb.org/?query=2168at50557	DNA-directed DNA polymerase, family B, exonuclease domain
2187at50557	Complete	scaffold_14:89822877-89352707	89822877	89352707	-	3372.7	2068	https://v10-1.orthodb.org/?query=2187at50557	Translational activator Gcn1
2339at50557	Complete	scaffold_6:38964689-39056254	38964689	39056254	+	2637.6	1395	https://v10-1.orthodb.org/?query=2339at50557	Clathrin heavy chain
2418at50557	Complete	scaffold_5:71662210-71436278	71662210	71436278	-	1180.0	1944	https://v10-1.orthodb.org/?query=2418at50557	Active zone protein ELKS
2648at50557	Complete	scaffold_5:195171626-195527585	195171626	195527585	+	2160.7	1308	https://v10-1.orthodb.org/?query=2648at50557	Ankyrin repeat
2741at50557	Complete	scaffold_14:32178161-32252662	32178161	32252662	+	1701.7	995	https://v10-1.orthodb.org/?query=2741at50557	Sec7, C-terminal
2744at50557	Complete	scaffold_5:63576597-63643722	63576597	63643722	+	2577.0	1783	https://v10-1.orthodb.org/?query=2744at50557	DnaJ domain
2843at50557	Complete	scaffold_11:9593683-9703192	9593683	9703192	+	1408.4	1007	https://v10-1.orthodb.org/?query=2843at50557	Zinc finger, PHD-type
3565at50557	Complete	scaffold_19:29582994-29789578	29582994	29789578	+	1491.5	1050	https://v10-1.orthodb.org/?query=3565at50557	dDENN domain
4042at50557	Complete	scaffold_1:189492003-189422700	189492003	189422700	-	835.2	768	https://v10-1.orthodb.org/?query=4042at50557	Kelch repeat type 1
4137at50557	Complete	scaffold_8:50266631-50540484	50266631	50540484	+	2350.3	1410	https://v10-1.orthodb.org/?query=4137at50557	Thioredoxin domain
4709at50557	Complete	scaffold_2:28529894-28587809	28529894	28587809	+	1186.3	1027	https://v10-1.orthodb.org/?query=4709at50557	Nucleoporin, Nup133/Nup155-like, C-terminal
4831at50557	Complete	scaffold_1:129141726-129042943	129141726	129042943	-	1348.9	978	https://v10-1.orthodb.org/?query=4831at50557	Chromo domain
5495at50557	Complete	scaffold_6:867023-891493	867023	891493	+	2076.6	1134	https://v10-1.orthodb.org/?query=5495at50557	Splicing factor 3B subunit 1
5928at50557	Complete	scaffold_3:70827777-70861477	70827777	70861477	+	1804.8	1207	https://v10-1.orthodb.org/?query=5928at50557	Zinc finger, UBR-type
6239at50557	Complete	scaffold_16:82655357-82460785	82655357	82460785	-	1458.1	1191	https://v10-1.orthodb.org/?query=6239at50557	Sec7, C-terminal
6416at50557	Complete	scaffold_6:10129102-10037481	10129102	10037481	-	1619.4	1034	https://v10-1.orthodb.org/?query=6416at50557	K Homology domain, type 1
6417at50557	Complete	scaffold_15:80991812-81020365	80991812	81020365	+	851.1	524	https://v10-1.orthodb.org/?query=6417at50557	Transcription initiation factor TFIID subunit 2
