# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2024-01-08, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	ptg000012l:114807151-114494489	114807151	114494489	-	5276.1	3596	https://v10-1.orthodb.org/?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	ptg000003l:17580571-17846135	17580571	17846135	+	2178.7	1144	https://v10-1.orthodb.org/?query=547at50557	Cation channel complex component UNC80, N-terminal
755at50557	Complete	ptg000079l:3404169-3199613	3404169	3199613	-	3355.1	2284	https://v10-1.orthodb.org/?query=755at50557	SRCR domain
767at50557	Complete	ptg000080l:23045199-22855434	23045199	22855434	-	3607.8	2302	https://v10-1.orthodb.org/?query=767at50557	WD40 repeat
888at50557	Complete	ptg000103l:5124180-4546467	5124180	4546467	-	2799.9	1773	https://v10-1.orthodb.org/?query=888at50557	Ubiquitin specific protease, conserved site
966at50557	Complete	ptg000062l:18141494-17858636	18141494	17858636	-	2413.0	1848	https://v10-1.orthodb.org/?query=966at50557	Leucine-rich repeat
983at50557	Complete	ptg000160l:5425119-5343130	5425119	5343130	-	4006.6	1962	https://v10-1.orthodb.org/?query=983at50557	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
1451at50557	Complete	ptg000005l:2747931-2486675	2747931	2486675	-	2195.4	1865	https://v10-1.orthodb.org/?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	ptg000015l:8941204-8859749	8941204	8859749	-	827.6	960	https://v10-1.orthodb.org/?query=1593at50557	Cadherin-like
1621at50557	Complete	ptg000038l:19322047-19391282	19322047	19391282	+	3171.0	2300	https://v10-1.orthodb.org/?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	ptg000148l:5894330-5949690	5894330	5949690	+	1768.2	1410	https://v10-1.orthodb.org/?query=1859at50557	Zinc finger C2H2-type
1997at50557	Complete	ptg000022l:8442761-8351837	8442761	8351837	-	2683.8	1776	https://v10-1.orthodb.org/?query=1997at50557	Immunoglobulin-like domain
2098at50557	Duplicated	ptg000027l:12163260-12040145	12163260	12040145	-	1412.8	811	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	ptg000119l:6159288-6410448	6159288	6410448	+	1413.6	819	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	ptg000120l:348542-223591	348542	223591	-	1260.0	788	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	ptg000272l:36125-160621	36125	160621	+	1326.9	833	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2098at50557	Duplicated	ptg000350l:276141-116928	276141	116928	-	1412.8	820	https://v10-1.orthodb.org/?query=2098at50557	Pecanex, C-terminal
2101at50557	Complete	ptg000029l:16226335-15991275	16226335	15991275	-	1425.8	1394	https://v10-1.orthodb.org/?query=2101at50557	Serine/threonine-protein kinase SMG1
2110at50557	Complete	ptg000078l:27586208-27503203	27586208	27503203	-	1509.2	1355	https://v10-1.orthodb.org/?query=2110at50557	Proteasome component Ecm29
2168at50557	Complete	ptg000057l:2392401-2113559	2392401	2113559	-	1325.6	1057	https://v10-1.orthodb.org/?query=2168at50557	DNA-directed DNA polymerase, family B, exonuclease domain
2187at50557	Complete	ptg000103l:3191547-3661717	3191547	3661717	+	3372.7	2068	https://v10-1.orthodb.org/?query=2187at50557	Translational activator Gcn1
2339at50557	Complete	ptg000033l:8852900-8944465	8852900	8944465	+	2637.6	1395	https://v10-1.orthodb.org/?query=2339at50557	Clathrin heavy chain
2418at50557	Complete	ptg000016l:51194116-51420048	51194116	51420048	+	1180.0	1581	https://v10-1.orthodb.org/?query=2418at50557	Active zone protein ELKS
2648at50557	Complete	ptg000079l:3038583-2682624	3038583	2682624	-	2160.7	1308	https://v10-1.orthodb.org/?query=2648at50557	Ankyrin repeat
2741at50557	Complete	ptg000096l:16440303-16514804	16440303	16514804	+	1701.7	995	https://v10-1.orthodb.org/?query=2741at50557	Sec7, C-terminal
2744at50557	Complete	ptg000016l:59279729-59212604	59279729	59212604	-	2577.0	1783	https://v10-1.orthodb.org/?query=2744at50557	DnaJ domain
2843at50557	Complete	ptg000022l:8339006-8229497	8339006	8229497	-	1408.4	1007	https://v10-1.orthodb.org/?query=2843at50557	Zinc finger, PHD-type
3565at50557	Complete	ptg000042l:16259507-16466091	16259507	16466091	+	1491.5	1050	https://v10-1.orthodb.org/?query=3565at50557	dDENN domain
4042at50557	Complete	ptg000040l:26702172-26771475	26702172	26771475	+	835.2	768	https://v10-1.orthodb.org/?query=4042at50557	Kelch repeat type 1
4137at50557	Complete	ptg000005l:85071480-84797627	85071480	84797627	-	2350.3	1410	https://v10-1.orthodb.org/?query=4137at50557	Thioredoxin domain
4709at50557	Complete	ptg000142l:18492346-18550261	18492346	18550261	+	1186.3	1027	https://v10-1.orthodb.org/?query=4709at50557	Nucleoporin, Nup133/Nup155-like, C-terminal
4831at50557	Complete	ptg000106l:5989096-5890313	5989096	5890313	-	1348.9	978	https://v10-1.orthodb.org/?query=4831at50557	Chromo domain
5495at50557	Complete	ptg000074l:867023-891493	867023	891493	+	2076.6	1134	https://v10-1.orthodb.org/?query=5495at50557	Splicing factor 3B subunit 1
5928at50557	Complete	ptg000083l:62739244-62772944	62739244	62772944	+	1804.8	1207	https://v10-1.orthodb.org/?query=5928at50557	Zinc finger, UBR-type
6239at50557	Complete	ptg000012l:67038543-67233115	67038543	67233115	+	1458.1	1191	https://v10-1.orthodb.org/?query=6239at50557	Sec7, C-terminal
6416at50557	Complete	ptg000074l:10129102-10037481	10129102	10037481	-	1619.4	1034	https://v10-1.orthodb.org/?query=6416at50557	K Homology domain, type 1
6417at50557	Complete	ptg000049l:37709548-37680995	37709548	37680995	-	851.1	524	https://v10-1.orthodb.org/?query=6417at50557	Transcription initiation factor TFIID subunit 2
6568at50557	Complete	ptg000142l:50512546-50577631	50512546	50577631	+	1529.9	1026	https://v10-1.orthodb.org/?query=6568at50557	TATA-binding protein interacting (TIP20)
7053at50557	Complete	ptg000017l:8014958-8034188	8014958	8034188	+	469.8	412	https://v10-1.orthodb.org/?query=7053at50557	Transmembrane protein family 132, middle domain
7307at50557	Complete	ptg000107l:1333316-1259357	1333316	1259357	-	1297.3	785	https://v10-1.orthodb.org/?query=7307at50557	Aminoacyl-tRNA synthetase, class Ia
7320at50557	Complete	ptg000005l:126671743-126821090	126671743	126821090	+	1142.2	781	https://v10-1.orthodb.org/?query=7320at50557	JNK-interacting protein 3 isoform X1
